X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.9649866,40.77649297,16I-AM-1008-01,16I,AM,10082018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9649866016038 40.7764929694457)
-73.96706286,40.77349914,12I-AM-1013-01,12I,AM,10132018,1,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,on tree roots,FALSE,FALSE,FALSE,FALSE,FALSE,sitting,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9670628558161 40.77349914209411)
-73.95873659,40.79085244,32F-PM-1008-07,32F,PM,10082018,7,Adult,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.958736593111 40.7908524370626)
-73.96717867,40.78673528,25A-AM-1013-04,25A,AM,10132018,4,,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9671786715256 40.7867352791232)
-73.96929433,40.77695361,15E-AM-1013-01,15E,AM,10132018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9692943291611 40.7769536102488)
-73.95400541,40.7952446,39G-PM-1013-06,39G,PM,10132018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9540054100539 40.7952445999836)
-73.95765302,40.78686595,29I-PM-1007-01,29I,PM,10072018,1,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9576530157255 40.7868659490397)
-73.97380333,40.77118469,7E-AM-1006-02,07E,AM,10062018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,under a tree,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9738033257473 40.7711846894166)
-73.97044027,40.77989656,17C-PM-1013-05,17C,PM,10132018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,eating (ate upside down on a tree — #jealous),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9704402681017 40.77989656212031)
-73.97569761,40.77538973,10A-PM-1014-01,10A,PM,10142018,1,Adult,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",Gray & White selected as Primary. Black & Cinnamon selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,in b/w trees,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9756976076707 40.7753897331918)
-73.9662439,40.78903818,28A-PM-1007-05,28A,PM,10072018,5,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9662438996681 40.7890381809441)
-73.96431539,40.78208185,22F-PM-1014-05,22F,PM,10142018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9643153920428 40.7820818516957)
-73.97420735,40.77579574,12B-AM-1007-01,12B,AM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9742073452913 40.7757957380463)
-73.97161471,40.7813911,18A-PM-1018-01,18A,PM,10182018,1,Adult,Gray,,Gray+,,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9716147061553 40.7813911036179)
-73.95657004,40.7902561,33H-AM-1019-02,33H,AM,10192018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,wrestling with mother,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9565700386162 40.7902561000937)
-73.95354107,40.79287118,36H-PM-1008-02,36H,PM,10082018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9535410657077 40.79287117600611)
-73.96391593,40.78917746,29C-AM-1007-06,29C,AM,10072018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9639159298446 40.7891774637988)
-73.95795643,40.79593378,38C-PM-1014-09,38C,PM,10142018,9,Adult,Black,,Black+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,POINT (-73.9579564338627 40.7959337795027)
-73.95746481,40.78925084,31H-PM-1008-02,31H,PM,10082018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,8,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9574648097543 40.78925084286221)
-73.97025268,40.77059996,8H-AM-1017-06,08H,AM,10172018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,6,,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.970252675331 40.77059995882221)
-73.95796459,40.79186135,34F-AM-1007-01,34F,AM,10072018,1,Adult,Gray,White,Gray+White,,Above Ground,25,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9579645940414 40.7918613498407)
-73.96732534,40.77495053,13H-PM-1010-02,13H,PM,10102018,2,Adult,Gray,,Gray+,,Above Ground,5,tree,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9673253417305 40.7749505252981)
-73.95959332,40.79058473,32E-AM-1007-13,32E,AM,10072018,13,Adult,Gray,,Gray+,,Above Ground,50,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9595933195409 40.7905847332369)
-73.96022221,40.7937797,35C-AM-1007-05,35C,AM,10072018,5,Adult,Gray,,Gray+,,Above Ground,4,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9602222116708 40.793779699421)
-73.96026099,40.7942883,35C-PM-1013-03,35C,PM,10132018,3,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9602609920814 40.79428830455661)
-73.96806351,40.77924987,17E-AM-1017-05,17E,AM,10172018,5,Adult,Black,,Black+,,Above Ground,10,Branch,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9680635070949 40.779249873647)
-73.98016664,40.76869053,2B-PM-1013-01,02B,PM,10132018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,running (with nut),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9801666435401 40.7686905339212)
-73.96756343,40.78134774,19D-AM-1007-01,19D,AM,10072018,1,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fenced off area can't approach,POINT (-73.9675634326877 40.7813477352507)
-73.95849706,40.79828863,40B-AM-1019-03,40B,AM,10192018,3,Juvenile,Gray,White,Gray+White,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,POINT (-73.9584970643213 40.7982886348696)
-73.97602982,40.76819544,3E-PM-1008-07,03E,PM,10082018,7,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9760298241178 40.7681954366911)
-73.95688021,40.79723991,39C-PM-1006-01,39C,PM,10062018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9568802149818 40.7972399133816)
-73.97246424,40.76905264,6G-AM-1008-02,06G,AM,10082018,2,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,bush,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9724642436394 40.7690526441109)
-73.96901758,40.77604327,14F-AM-1007-05,14F,AM,10072018,5,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9690175838534 40.7760432720017)
-73.97040828,40.7690281,6I-PM-1013-06,06I,PM,10132018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,playing with #5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,POINT (-73.9704082821356 40.7690280985956)
-73.96849107,40.77688116,15F-PM-1010-05,15F,PM,10102018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9684910712272 40.7768811640021)
-73.97686748,40.77352326,8B-PM-1012-02,08B,PM,10122018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,hiding in bushes,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9768674812942 40.7735232648872)
-73.97970849,40.76988852,3A-PM-1017-06,03A,PM,10172018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9797084866613 40.7698885241349)
-73.95281927,40.79231304,36I-AM-1017-02,36I,AM,10172018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,Cinnamon stripe on back,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.952819267977 40.7923130402793)
-73.974563,40.76926026,5E-AM-1008-06,05E,AM,10082018,6,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,POINT (-73.9745630038492 40.7692602628745)
-73.95950023,40.79033658,32E-PM-1017-13,32E,PM,10172018,13,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9595002339508 40.7903365788694)
-73.9741825,40.76894867,5F-PM-1007-03,05F,PM,10072018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,hiding nut,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9741824992294 40.7689486657963)
-73.97492439,40.77613936,11B-PM-1014-05,11B,PM,10142018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9749243901189 40.7761393551781)
-73.96838133,40.77801434,16E-PM-1018-06,16E,PM,10182018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,On a rock,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.968381325559 40.7780143443779)
-73.96942403,40.77558981,13F-AM-1007-02,13F,AM,10072018,2,Adult,Cinnamon,White,Cinnamon+White,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.96942403275091 40.7755898126674)
-73.9689001,40.78283647,20B-PM-1013-10,20B,PM,10132018,10,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,drank from a pond of rain water,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9689000978955 40.7828364735236)
-73.98045289,40.76967537,3A-PM-1017-05,03A,PM,10172018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9804528867547 40.76967536559861)
-73.9576246,40.78738625,29H-PM-1006-01,29H,PM,10062018,1,Adult,Gray,,Gray+,,Above Ground,50,,FALSE,FALSE,TRUE,FALSE,FALSE,sitting,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9576245992455 40.7873862510001)
-73.96660079,40.78450981,23C-PM-1014-03,23C,PM,10142018,3,Adult,Gray,,Gray+,,Above Ground,8,,FALSE,TRUE,FALSE,FALSE,FALSE,chasing (#4 across trees),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9666007935638 40.7845098131567)
-73.96148484,40.79226455,33C-PM-1007-03,33C,PM,10072018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.96148483609 40.7922645521905)
-73.95466542,40.79476392,38G-PM-1020-09,38G,PM,10202018,9,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9546654184146 40.7947639241491)
-73.9667114,40.77688047,16G-PM-1017-01,16G,PM,10172018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9667114027214 40.7768804702473)
-73.95300356,40.79218225,36I-PM-1007-07,36I,PM,10072018,7,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9530035564643 40.7921822457613)
-73.96156966,40.79512786,35A-AM-1014-03,35A,AM,10142018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9615696577673 40.7951278622399)
-73.96447484,40.78838401,28C-PM-1006-01,28C,PM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,gathering acorns,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,gnd to tree,POINT (-73.964474836001 40.7883840104749)
-73.96107056,40.79148297,32D-AM-1013-06,32D,AM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,POINT (-73.9610705592868 40.7914829661051)
-73.96884545,40.78453013,22A-AM-1008-05,22A,AM,10082018,5,Adult,Gray,White,Gray+White,,Above Ground,3,trash can,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9688454483585 40.7845301288163)
-73.95782372,40.79809595,40B-PM-1014-06,40B,PM,10142018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9578237168359 40.7980959471034)
-73.96882712,40.78097194,19C-PM-1018-01,19C,PM,10182018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9688271202401 40.7809719445309)
-73.96170887,40.79445851,35A-PM-1013-06,35A,PM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9617088749928 40.7944585082367)
-73.97018248,40.77665306,14E-AM-1008-09,14E,AM,10082018,9,Adult,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9701824825872 40.7766530579293)
-73.96764105,40.77660435,15G-PM-1019-05,15G,PM,10192018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,4,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9676410497481 40.7766043512974)
-73.97087261,40.7723572,10F-AM-1007-02,10F,AM,10072018,2,Adult,Gray,,Gray+,,Above Ground,70,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9708726050721 40.7723572030236)
-73.95414535,40.79821622,42E-PM-1012-06,42E,PM,10122018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9541453465817 40.79821622237641)
-73.96836083,40.78429274,22B-AM-1013-04,22B,AM,10132018,4,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Under bench,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,ran from dog-walker,POINT (-73.9683608295976 40.7842927405327)
